target,threshold_registry,threshold_final_thresholds,sensitivity_heldout,sensitivity_published,sensitivity_h7_vs_random,published_minus_heldout,n_actives_scored_by_published,n_actives_model_trained_on,n_actives_held_out,train_fraction_of_published_set,registry_claims_basis
A1,0.8083,0.8083,0.736,0.736,0.815,0.0,1943,1523,420,0.7838,held_out_actives_by_scaffold
A2A,0.8888,0.8888,0.824,0.824,,0.0,4101,3333,768,0.8127,held_out_actives_by_scaffold
CB1,0.2842,0.2842,0.862,0.862,0.81,0.0,2680,2158,522,0.8052,held_out_actives_by_scaffold
CGRP,0.3414,0.3414,0.993,0.993,,0.0,599,454,145,0.7579,held_out_actives_by_scaffold
COX2,0.7353,0.7353,0.338,0.338,0.466,0.0,1182,883,299,0.747,held_out_actives_by_scaffold
CSF1R,0.8466,0.8466,0.901,0.901,0.9127,0.0,1784,1420,364,0.796,held_out_actives_by_scaffold
Cav3_2,0.3697,0.3697,0.975,0.975,,0.0,351,272,79,0.7749,held_out_actives_by_scaffold
D2,0.9072,0.9072,0.654,0.654,0.655,0.0,3657,2890,767,0.7903,held_out_actives_by_scaffold
D3,0.9715,0.9512,0.86,0.86,0.74,0.0,4127,3450,677,0.836,held_out_actives_by_scaffold
DAT,0.2168,0.2168,0.864,0.864,0.9525,0.0,1337,1102,235,0.8242,held_out_actives_by_scaffold
DHODH,0.1749,0.1749,0.948,0.948,,0.0,963,730,233,0.758,held_out_actives_by_scaffold
GABA_A,0.661,0.661,0.303,0.303,0.4872,0.0,201,168,33,0.8358,held_out_actives_by_scaffold
GBA1,0.1869,0.1869,0.795,0.795,,0.0,120,81,39,0.675,held_out_actives_by_scaffold
GluN2B,0.9645,0.9645,0.374,0.374,0.5833,0.0,904,749,155,0.8285,held_out_actives_by_scaffold
H3,0.6119,0.6119,0.953,0.953,0.9025,0.0,3212,2659,553,0.8278,held_out_actives_by_scaffold
HDAC1,0.7473,0.7473,0.9,0.9,0.92,0.0,3055,2563,492,0.839,held_out_actives_by_scaffold
HDAC6,0.8341,0.8341,0.93,0.93,0.965,0.0,3715,3010,705,0.8102,held_out_actives_by_scaffold
HT1A,0.9623,0.9183,0.754,0.754,0.705,0.0,3703,3070,633,0.8291,held_out_actives_by_scaffold
HT2A,0.9016,0.9016,0.67,0.67,0.6625,0.0,3817,2918,899,0.7645,held_out_actives_by_scaffold
HT6,0.5723,0.5723,0.931,0.931,0.9125,0.0,2741,2309,432,0.8424,held_out_actives_by_scaffold
HT7,0.8472,0.8472,0.83,0.83,0.7917,0.0,1478,1189,289,0.8045,held_out_actives_by_scaffold
KEAP1,0.7793,0.7793,0.52,0.52,0.2973,0.0,122,97,25,0.7951,held_out_actives_by_scaffold
LRRK2,0.3909,0.3909,0.919,0.919,0.8776,0.0,1173,951,222,0.8107,held_out_actives_by_scaffold
MT1,0.9509,0.9509,0.678,0.678,0.5276,0.0,697,579,118,0.8307,held_out_actives_by_scaffold
NET,0.5999,0.5999,0.732,0.732,0.814,0.0,1572,1217,355,0.7742,held_out_actives_by_scaffold
NLRP3,0.3645,0.3645,0.867,0.867,0.7115,0.0,222,177,45,0.7973,held_out_actives_by_scaffold
Nav1_5,0.233,0.2221,0.8,0.8,0.8261,0.0,40,207,35,5.175,held_out_actives_by_scaffold
Nav1_6,0.9442,0.9442,0.532,0.532,,0.0,276,199,77,0.721,held_out_actives_by_scaffold
Nav1_7,0.8426,0.8426,0.877,0.877,0.8021,0.0,2744,2165,579,0.789,held_out_actives_by_scaffold
Nav1_8,0.5971,0.5971,0.892,0.892,,0.0,283,181,102,0.6396,held_out_actives_by_scaffold
OPRK1,0.917,0.917,0.801,0.801,0.7625,0.0,3059,2465,594,0.8058,held_out_actives_by_scaffold
OPRM1,0.6077,0.6077,0.872,0.872,0.845,0.0,3718,2904,814,0.7811,held_out_actives_by_scaffold
OX1,0.7468,0.7468,0.922,0.922,0.8325,0.0,3312,2788,524,0.8418,held_out_actives_by_scaffold
OX2,0.6773,0.6773,0.885,0.885,0.895,0.0,3852,3123,729,0.8107,held_out_actives_by_scaffold
P2X7,0.999,0.999,0.465,0.465,0.0,0.0,2938,2308,630,0.7856,held_out_actives_by_scaffold
PDE10A,0.8717,0.8717,0.875,0.875,0.84,0.0,4084,3211,873,0.7862,held_out_actives_by_scaffold
PDE4B,0.3472,0.3472,0.867,0.867,0.8818,0.0,1128,948,180,0.8404,held_out_actives_by_scaffold
RIPK1,0.05,0.05,0.938,0.938,,0.0,1490,1149,341,0.7711,held_out_actives_by_scaffold
SERT,0.744,0.744,0.835,0.835,0.7675,0.0,2971,2516,455,0.8469,held_out_actives_by_scaffold
SIRT1,0.4686,0.4646,0.378,0.378,0.4762,0.0,30,125,37,4.1667,held_out_actives_by_scaffold
Sigma1,0.9526,0.9526,0.6,0.6,0.71,0.0,1928,1643,285,0.8522,held_out_actives_by_scaffold
TAAR1,0.8305,0.8305,0.355,0.355,0.48,0.0,93,162,76,1.7419,held_out_actives_by_scaffold
a3b4nAChR,0.2792,0.2792,0.906,0.906,,0.0,198,166,32,0.8384,held_out_actives_by_scaffold
a4b2nAChR,0.7822,0.7822,0.754,0.754,,0.0,476,407,69,0.855,held_out_actives_by_scaffold
a7nAChR,0.5022,0.5022,0.571,0.571,0.7922,0.0,337,274,63,0.8131,held_out_actives_by_scaffold
mGluR5,0.8704,0.8704,0.723,0.723,0.7143,0.0,1200,911,289,0.7592,held_out_actives_by_scaffold
mTOR,0.2188,0.2188,0.941,0.941,0.99,0.0,2984,2558,426,0.8572,held_out_actives_by_scaffold
