endpoint,task,split,fold,n_train,n_test,roc_auc,pr_auc,mcc,f1,balanced_acc,r2,rmse,mae,spearman
pgp_inhibition,classification,random,1,1090,122,0.9681511470985156,0.9760194492123822,0.8682860998650472,0.9384615384615383,0.9341430499325236,,,,
pgp_inhibition,classification,random,2,1090,122,0.9411605937921728,0.9649083777595252,0.8439946018893387,0.918032786885246,0.9219973009446694,,,,
pgp_inhibition,classification,random,3,1091,121,0.9285714285714286,0.9515027164134402,0.7578845877049314,0.8780487804878049,0.8796703296703297,,,,
pgp_inhibition,classification,random,4,1091,121,0.9634615384615384,0.9737018623048366,0.7879481626933432,0.896,0.8950549450549451,,,,
pgp_inhibition,classification,random,5,1091,121,0.9618131868131868,0.9664552803776014,0.7141684885491869,0.85,0.8565934065934067,,,,
pgp_inhibition,classification,random,6,1091,121,0.968956043956044,0.9795473695406364,0.8520168420089625,0.9291338582677166,0.9270604395604396,,,,
pgp_inhibition,classification,random,7,1091,121,0.9755494505494506,0.9845252978551188,0.857418634498307,0.926829268292683,0.9295329670329672,,,,
pgp_inhibition,classification,random,8,1091,121,0.9481907894736842,0.967223043163764,0.8175087252334688,0.9147286821705426,0.9083059210526316,,,,
pgp_inhibition,classification,random,9,1091,121,0.9682017543859648,0.9759876525780752,0.7847167809351475,0.8976377952755905,0.8926809210526316,,,,
pgp_inhibition,classification,random,10,1091,121,0.9248903508771928,0.9524714275379084,0.7372752139846891,0.8709677419354839,0.8692434210526316,,,,
pgp_inhibition,classification,scaffold,1,1090,122,0.8930288461538463,0.8522374283947213,0.7998578722354865,0.84,0.8882211538461539,,,,
pgp_inhibition,classification,scaffold,2,1090,122,0.9561111111111112,0.9686349190841927,0.6508386624893796,0.8064516129032258,0.8272222222222222,,,,
pgp_inhibition,classification,scaffold,3,1091,121,0.928443649373882,0.9652174622811706,0.7093169886164384,0.875,0.8689624329159213,,,,
pgp_inhibition,classification,scaffold,4,1091,121,0.908717105263158,0.923687052039998,0.5822594534603386,0.7567567567567568,0.784265350877193,,,,
pgp_inhibition,classification,scaffold,5,1091,121,0.969187675070028,0.9744468746765114,0.8189012862669938,0.9185185185185184,0.9134453781512604,,,,
pgp_inhibition,classification,scaffold,6,1091,121,0.9222408026755852,0.9582689011149336,0.775148622006962,0.8923076923076924,0.8914437012263099,,,,
pgp_inhibition,classification,scaffold,7,1091,121,0.9502460360852926,0.9505246470336002,0.790894969821906,0.8888888888888888,0.8939311098961181,,,,
pgp_inhibition,classification,scaffold,8,1091,121,0.9462719298245614,0.9618700294655532,0.7859890180267362,0.896,0.893640350877193,,,,
pgp_inhibition,classification,scaffold,9,1091,121,0.9385674931129476,0.951186071061206,0.6729823789160544,0.8412698412698413,0.8378787878787879,,,,
pgp_inhibition,classification,scaffold,10,1091,121,0.9587719298245614,0.9774088173531904,0.7682021216312277,0.9027777777777778,0.8942982456140351,,,,
solubility,regression,random,1,8615,958,,,,,,0.8226063265236822,1.0076798835324028,0.689095492209168,0.9016432651890554
solubility,regression,random,2,8615,958,,,,,,0.8046648481653278,1.0378737652697174,0.7073860055723706,0.8928533857387243
