smiles,y_true,fold,prediction
Cc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,3.0,10,19.024898267195766
C[C@@](CCc1ccc(-c2ccc(Cl)cc2)cc1)(C(=O)NO)S(C)(=O)=O,3.0,8,18.22945130952381
Cc1ccc(-c2nc3ccccc3[nH]2)cc1NC(=O)c1ccc(OCc2ccccn2)cc1,10.23,1,56.86709853174602
O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,10.23,8,32.086231613756624
O=CNc1cc([C@@H](O)CNCCc2ccc(NC[C@H](O)c3ccccc3)cc2)ccc1O,3.0,2,30.968881666666668
Cc1cc(CCCOc2c(C)cc(-c3noc(C(F)(F)F)n3)cc2C)on1,13.49,3,53.41511091630593
O=C(C1CCN(c2nnc(-n3cccc3)s2)CC1)N1CCN(Cc2ccc3c(c2)OCO3)CC1,50.12,4,50.983661560846606
C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@@](CCO)(c2ccc(F)cc2)OC1=O,64.57,10,25.751280833333336
C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,8.71,7,35.98783003968254
O=C(O)COc1ccc(Cl)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,3.0,5,10.026807222222226
O=C(NCC12CC3CC(CC(C3)C1)C2)c1cc(CN2CCNCC2)ccc1Cl,4.46,5,26.687407579365058
CC(CO)(CO)Nc1nc(SCc2cccc(F)c2F)nc2nc(N)sc12,7.0,10,28.52625325396826
O=C(O)c1cncc(-c2ccc(Cl)c(C(=O)NCC34CC5CC(CC(C5)C3)C4)c2)c1,7.0,6,14.831989206349208
Cc1ccc(S(=O)(=O)Nc2c(C(=O)N[C@@H](C)C(C)(C)C)c(C)nn2C2CCCC2)cc1,8.0,7,9.76156079365079
COc1ccc(Cc2c(N)n[nH]c2N)cc1,3.63,8,23.58200912698413
CCS(=O)(=O)c1ccc(-c2cc(Cl)ccc2OCC(=O)O)c(F)c1,4.24,8,21.36916619047617
N#Cc1ccc(-c2ccc(NC(=O)Nc3ccc(-c4ccnc5[nH]cnc45)cc3)cc2)cc1,67.61,5,24.611746071428577
CCN(C(=O)c1cnn(-c2ccccc2)c1NS(=O)(=O)c1ccc(-c2cnco2)cc1)C1CCCCC1,35.0,4,41.15673325396827
C(=C\c1nn[nH]n1)/c1ccccc1,3.0,2,37.13152578042327
O=C(O)COc1ccc(C(F)(F)F)cc1CN1CCN(S(=O)(=O)c2ccccc2)CC1,3.0,5,13.427201428571427
Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)N[C@H](CO)c2cccc(Cl)c2)c1,8.51,8,40.91734734126982
