smiles,y_true,fold,prediction
Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21,3.54,3,3.357890634920636
COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O,-1.18,10,-0.48709490740740763
COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,3.69,7,2.859370555555557
O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1,3.37,8,3.273917497594996
Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1,3.1,9,1.6316239285714296
OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2,3.14,8,2.0094076984126996
COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O,-0.72,2,0.036959642857142865
CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34,3,0.25362788359788363
COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1,3.05,1,3.181724033189034
Oc1ncnc2scc(-c3ccsc3)c12,2.25,9,2.717083968253967
CS(=O)(=O)c1ccc(Oc2ccc(C#C[C@]3(O)CN4CCC3CC4)cc2)cc1,1.51,7,2.0129447222222216
Cc1cc(Nc2nc(N[C@@H](C)c3ccc(F)cn3)c(C#N)nc2C)n[nH]1,2.61,9,2.3323893783068774
O=C1CCCCCN1,-0.08,2,0.37485668905168895
CCCSc1ncccc1C(=O)N1CCCC1c1ccncc1,1.95,6,3.0351320238095205
Cc1ccc(S(=O)(=O)Nc2c(C(=O)NC3CCCCC3C)cnn2-c2ccccc2)cc1,1.34,1,1.5751598015873025
Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,3.2,7,3.144774973544976
COc1ccc(N2CCN(C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N)CC2)cc1,1.6,10,1.6741675925925916
CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C,3.77,1,2.5344058730158716
COc1cc(-n2nnc3cc(-c4ccc(Cl)cc4)sc3c2=O)ccc1N1CC[C@@H](O)C1,3.15,6,2.6370336507936507
CO[C@H]1CN(CCn2c(=O)ccc3ccc(C#N)cc32)CC[C@H]1NCc1ccc2c(n1)NC(=O)CO2,0.32,10,0.9848671428571428
CC(C)(CCCCCOCCc1ccccc1)NCCc1ccc(O)c2nc(O)sc12,2.92,6,2.4918245370370378
O=C(Nc1nnc(C(=O)Nc2ccc(N3CCOCC3)cc2)o1)c1ccc(Cl)cc1,1.92,6,2.794568029100531
COc1ccc(Oc2cccc(CN3CCCC(n4cc(C)c(=O)[nH]c4=O)C3)c2)cc1,3.17,4,3.0215794179894186
O=C(O)c1cccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)c1,2.17,1,2.1816722883597897
CNCC[C@@H](Oc1ccccc1C)c1ccccc1,1.2,7,1.233930304232804
O=C(CCCc1ccncc1)N1CCN(c2ccc(Cl)cc2Cl)CC1,3.93,3,3.18837461640212
COc1cnc(-c2ccccn2)nc1N(C)C,1.9,2,1.46084992063492
c1ccc(-c2cc(NCCCCCCCCNc3cc(-c4ccccc4)nc4ccccc34)c3ccccc3n2)cc1,2.27,8,3.509231666666668
CSc1c(C(=O)NC2C3CC4CC(C3)CC2C4)cnn1-c1ccc(C(=O)O)cc1,1.2,7,1.1573805952380947
CNC1=Nc2ncccc2C(c2ncco2)=NC1c1cccs1,1.14,2,2.3320400396825396
CS(=O)(=O)C1(c2cc(N3CC4CCC(C3)O4)nc(-c3cccc4[nH]ccc34)n2)CC1,2.6,2,2.5431172242572235
CN(C(=O)Cc1ccc(-n2cnnn2)cc1)[C@@H]1CCN(Cc2ccc(C(F)(F)F)cc2)C[C@@H]1F,3.3,3,3.0637965079365053
CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,3.94,1,3.189871385281385
CS(=O)(=O)c1ccccc1C(=O)NC[C@@H](O)CN1CCC(Oc2ccc(Cl)c(Cl)c2)CC1,2.34,1,2.6908898015872977
N#Cc1ccccc1Oc1ccc(C(=O)NCc2ccncc2)cc1,2.57,10,3.1437834126984128
CN(C)c1ccnc2sc(C(=O)NCc3ccccc3)c(N)c12,3.62,10,2.5768529232804216
Cc1ccc(NC(=O)c2cscn2)cc1-n1cnc2ccc(N3CCN(C)CC3)cc2c1=O,2.06,9,2.38352849206349
Cn1cncc1-c1c2c(=O)n(CC3CC3)c(=O)n(CC3CC3)c2nn1Cc1ccnc2ccc(Cl)cc12,4.33,6,3.6409887037037048
COc1ccc2ncc(C#N)c(CCN3CCC(NCc4cc5c(cn4)OCS5)CC3)c2c1,2.55,9,2.686047367724865
CNC(=O)C1(N2CCCCC2=O)CCN(CC[C@H](CN(C)C(=O)c2c(OC)c(C#N)cc3ccccc23)c2ccc(Cl)c(Cl)c2)CC1,2.78,6,2.6284215295815274
